Wine Type,Supplier SOH,Variety(ies),Wine Name,Vintage,RRP,Discount RRP,Winery,Website,Location,Supplier Contact Name,Supplier Contact Email,Supplier Contact Phone,Verification Note
Mixed,N/A,"Sauvignon Blanc, Sauvignon Blanc/Sémillon, Chenin Blanc",Mixed Case White,N/A,R590,N/A,Somerbosch Wine,http://www.somerbosch.co.za/,"Die Fonteine Farm, R44, Stellenbosch, 7600, South Africa",,,021 855 3615,
Red,N/A,Shiraz,Shiraz 2020,2020,R720 per case,N/A,Somerbosch Wine,http://www.somerbosch.co.za/,"Die Fonteine Farm, R44, Stellenbosch, 7600, South Africa",,,021 855 3615,
Red,N/A,Cabernet Sauvignon,Cabernet Sauvignon 2021,2021,R720 per case,N/A,Somerbosch Wine,http://www.somerbosch.co.za/,"Die Fonteine Farm, R44, Stellenbosch, 7600, South Africa",,,021 855 3615,
Red,N/A,Pinotage,Pinotage 2022,2022,R720 per case,N/A,Somerbosch Wine,http://www.somerbosch.co.za/,"Die Fonteine Farm, R44, Stellenbosch, 7600, South Africa",,,021 855 3615,
Red,N/A,"Shiraz, Merlot",Shiraz/Merlot 2024,2024,R570 per case,N/A,Somerbosch Wine,http://www.somerbosch.co.za/,"Die Fonteine Farm, R44, Stellenbosch, 7600, South Africa",,,021 855 3615,
Red,N/A,Flagship Blend,Kylix Flagship blend 2019,2019,R1560 per case,N/A,Somerbosch Wine,http://www.somerbosch.co.za/,"Die Fonteine Farm, R44, Stellenbosch, 7600, South Africa",,,021 855 3615,
Red,N/A,Merlot,Merlot 2022,2022,R720 per case,N/A,Somerbosch Wine,http://www.somerbosch.co.za/,"Die Fonteine Farm, R44, Stellenbosch, 7600, South Africa",,,021 855 3615,
Rose,N/A,N/A,Rose 2024,2024,R630 per case,N/A,Somerbosch Wine,http://www.somerbosch.co.za/,"Die Fonteine Farm, R44, Stellenbosch, 7600, South Africa",,,021 855 3615,
Red,,Cabernet Sauvignon,Cabernet Sauvignon 2020,2020,"R220,00",,Vredenheim Wine Farm,http://vredenheim.co.za/,"R310 Baden Powell Dr, Lynedoch, Stellenbosch, South Africa",,,021 881 3878,
White,,Chardonnay,Chardonnay 2023,2023,"R205,00",,Vredenheim Wine Farm,http://vredenheim.co.za/,"R310 Baden Powell Dr, Lynedoch, Stellenbosch, South Africa",,,021 881 3878,
Red,,Blend,Gracious Lady 2020,2020,"R215,00",,Vredenheim Wine Farm,http://vredenheim.co.za/,"R310 Baden Powell Dr, Lynedoch, Stellenbosch, South Africa",,,021 881 3878,
Red,,Blend,Akkoord Rooiwyn versnit,,"R200,00",,Vredenheim Wine Farm,http://vredenheim.co.za/,"R310 Baden Powell Dr, Lynedoch, Stellenbosch, South Africa",,,021 881 3878,
Port,,,Cape Vintage Reserve 2021,2021,"R235,00",,Vredenheim Wine Farm,http://vredenheim.co.za/,"R310 Baden Powell Dr, Lynedoch, Stellenbosch, South Africa",,,021 881 3878,
White,,Sauvignon Blanc,Liriek Sauvignon Blanc 2025,2025,"R140,00",,Vredenheim Wine Farm,http://vredenheim.co.za/,"R310 Baden Powell Dr, Lynedoch, Stellenbosch, South Africa",,,021 881 3878,
Red,,Merlot,Merlot 2023,2023,"R120,00",,Vredenheim Wine Farm,http://vredenheim.co.za/,"R310 Baden Powell Dr, Lynedoch, Stellenbosch, South Africa",,,021 881 3878,
Red,,Pinotage,Pinotage 2023,2023,"R100,00",,Vredenheim Wine Farm,http://vredenheim.co.za/,"R310 Baden Powell Dr, Lynedoch, Stellenbosch, South Africa",,,021 881 3878,
Non-Alcoholic,,,Red Grape Juice,,"R55,00",,Vredenheim Wine Farm,http://vredenheim.co.za/,"R310 Baden Powell Dr, Lynedoch, Stellenbosch, South Africa",,,021 881 3878,
Rosé,,,Rosé 2025,2025,"R95,00",,Vredenheim Wine Farm,http://vredenheim.co.za/,"R310 Baden Powell Dr, Lynedoch, Stellenbosch, South Africa",,,021 881 3878,
Red,,Blend,Kanoa Exclusive Blend 2019,2019,R400.00,,Peter Falke Wines,http://www.peterfalkewines.com/,"Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3677,
Red,,Cabernet Sauvignon,Kailani Cabernet Sauvignon 2019,2019,R800.00,,Peter Falke Wines,http://www.peterfalkewines.com/,"Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3677,
Red,,Syrah,Alani Syrah 2019,2019,R400.00,,Peter Falke Wines,http://www.peterfalkewines.com/,"Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3677,
Sparkling,,Cap Classique,Noelina Cap Classique 2018,2018,R340.00,,Peter Falke Wines,http://www.peterfalkewines.com/,"Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3677,
White,,Muscat d’Alexandrie,Leilani Muscat d’Alexandrie,,R300.00,,Peter Falke Wines,http://www.peterfalkewines.com/,"Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3677,
Red,,Cabernet Sauvignon,Cabernet Sauvignon 2022,2022,R300.00,,Peter Falke Wines,http://www.peterfalkewines.com/,"Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3677,
Red,,,Ruby 2018,2018,R230.00,,Peter Falke Wines,http://www.peterfalkewines.com/,"Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3677,
Red,,Pinot Noir,Pinot Noir 2020,2020,R300.00,,Peter Falke Wines,http://www.peterfalkewines.com/,"Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3677,
White,,Chardonnay,Chardonnay 2023,2023,R300.00,,Peter Falke Wines,http://www.peterfalkewines.com/,"Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3677,
White,,Sauvignon Blanc,Sauvignon Blanc 2024,2024,R160.00,,Peter Falke Wines,http://www.peterfalkewines.com/,"Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3677,
Sparkling,,Pinot Meunier,Cap Classique Brut,2018,,,Mulderbosch Vineyards,http://www.mulderbosch.co.za/,"Mulderbosch Vineyards, Polkadraai Rd, Stellenbosch, 7600, South Africa",,,021 881 8140,
White,,Sauvignon Blanc,Sauvignon Blanc,2024,,,Mulderbosch Vineyards,http://www.mulderbosch.co.za/,"Mulderbosch Vineyards, Polkadraai Rd, Stellenbosch, 7600, South Africa",,,021 881 8140,
White,,Chenin Blanc,Steen Op Hout,2024,,,Mulderbosch Vineyards,http://www.mulderbosch.co.za/,"Mulderbosch Vineyards, Polkadraai Rd, Stellenbosch, 7600, South Africa",,,021 881 8140,
White,,Chenin Blanc,Old Vine Steen Op Hout,2022,,,Mulderbosch Vineyards,http://www.mulderbosch.co.za/,"Mulderbosch Vineyards, Polkadraai Rd, Stellenbosch, 7600, South Africa",,,021 881 8140,
White,,Chardonnay,Chardonnay,2022,,,Mulderbosch Vineyards,http://www.mulderbosch.co.za/,"Mulderbosch Vineyards, Polkadraai Rd, Stellenbosch, 7600, South Africa",,,021 881 8140,
Rosé,,Cabernet Sauvignon,Cabernet Sauvignon Rosé,2024,,,Mulderbosch Vineyards,http://www.mulderbosch.co.za/,"Mulderbosch Vineyards, Polkadraai Rd, Stellenbosch, 7600, South Africa",,,021 881 8140,
Red,,Blend (Bordeaux varieties),Faithful Hound,2022,,,Mulderbosch Vineyards,http://www.mulderbosch.co.za/,"Mulderbosch Vineyards, Polkadraai Rd, Stellenbosch, 7600, South Africa",,,021 881 8140,
Red,,Blend (Cabernet Franc dominant),Estate Blend,2021,,,Mulderbosch Vineyards,http://www.mulderbosch.co.za/,"Mulderbosch Vineyards, Polkadraai Rd, Stellenbosch, 7600, South Africa",,,021 881 8140,
Red,,Cabernet Franc,Single Vineyard Cabernet Franc,2020,,,Mulderbosch Vineyards,http://www.mulderbosch.co.za/,"Mulderbosch Vineyards, Polkadraai Rd, Stellenbosch, 7600, South Africa",,,021 881 8140,
Red Wine,,,SMG 2022,2022,,,Guardian Peak Winery & Grill,http://www.guardianpeak.com/,"Annandale Rd, Stellenbosch NU, Stellenbosch, 7600, South Africa",,,021 881 3899,
Red Wine,Available,Merlot,Merlot 2023,2023,Not specified,Not specified,Guardian Peak Winery & Grill,http://www.guardianpeak.com/,"Annandale Rd, Stellenbosch NU, Stellenbosch, 7600, South Africa",,,021 881 3899,
White Wine,Available,Sauvignon Blanc,Sauvignon Blanc 2024,2024,Not Listed,Not Listed,Guardian Peak Winery & Grill,http://www.guardianpeak.com/,"Annandale Rd, Stellenbosch NU, Stellenbosch, 7600, South Africa",,,021 881 3899,
Red,Not listed,"Pinotage, Shiraz",Avalon,Not listed,1950,Not available,Asara Wine Estate & Hotel,http://www.asara.co.za/,"Polkadraai Rd, Baden Powell Dr, &, Stellenbosch, 7600, South Africa",,,021 888 8000,
Red,Not listed,Bordeaux Blend,The Bell Tower,Not listed,695,Not available,Asara Wine Estate & Hotel,http://www.asara.co.za/,"Polkadraai Rd, Baden Powell Dr, &, Stellenbosch, 7600, South Africa",,,021 888 8000,
Sparkling,Not listed,Not listed,Cap Classique,Not listed,295,Not available,Asara Wine Estate & Hotel,http://www.asara.co.za/,"Polkadraai Rd, Baden Powell Dr, &, Stellenbosch, 7600, South Africa",,,021 888 8000,
White,Not listed,Not listed,Vine Dried Sauvignon Blanc,Not listed,185,Not available,Asara Wine Estate & Hotel,http://www.asara.co.za/,"Polkadraai Rd, Baden Powell Dr, &, Stellenbosch, 7600, South Africa",,,021 888 8000,
Case,Sold Out,,Advini Essentials: Awarded Wines Case,,R675.00,R594.00,Stellenbosch Vineyards,http://www.stellenboschvineyards.co.za/,"R310 Baden Powell Dr, Lynedoch, Stellenbosch, 7603, South Africa",,,021 881 3870,
Red Wine,Available,Petit Verdot,Petit Verdot 2018,2018,R550.00,,Stellenbosch Vineyards,http://www.stellenboschvineyards.co.za/,"R310 Baden Powell Dr, Lynedoch, Stellenbosch, 7603, South Africa",,,021 881 3870,
Red Wine,Available,Red Blend,Right Bank 2018,2018,R550.00,,Stellenbosch Vineyards,http://www.stellenboschvineyards.co.za/,"R310 Baden Powell Dr, Lynedoch, Stellenbosch, 7603, South Africa",,,021 881 3870,
Red Wine,Available,Cabernet Franc,Cabernet Franc 2018,2018,R550.00,,Stellenbosch Vineyards,http://www.stellenboschvineyards.co.za/,"R310 Baden Powell Dr, Lynedoch, Stellenbosch, 7603, South Africa",,,021 881 3870,
White Wine,Available,Chenin Blanc,Limited Release Chenin Blanc 2022,2022,R275.00,,Stellenbosch Vineyards,http://www.stellenboschvineyards.co.za/,"R310 Baden Powell Dr, Lynedoch, Stellenbosch, 7603, South Africa",,,021 881 3870,
White Wine,Available,Verdelho,Limited Release Verdelho 2021,2021,R250.00,,Stellenbosch Vineyards,http://www.stellenboschvineyards.co.za/,"R310 Baden Powell Dr, Lynedoch, Stellenbosch, 7603, South Africa",,,021 881 3870,
White Wine,Sold Out,Therona,Limited Release Therona 2023,2023,R250.00,,Stellenbosch Vineyards,http://www.stellenboschvineyards.co.za/,"R310 Baden Powell Dr, Lynedoch, Stellenbosch, 7603, South Africa",,,021 881 3870,
Red Wine,Available,Cinsault,Limited Release Cinsault 2020,2020,R250.00,,Stellenbosch Vineyards,http://www.stellenboschvineyards.co.za/,"R310 Baden Powell Dr, Lynedoch, Stellenbosch, 7603, South Africa",,,021 881 3870,
Red Wine,Sold Out,Grenache,Limited Release Grenache 2023,2023,R250.00,,Stellenbosch Vineyards,http://www.stellenboschvineyards.co.za/,"R310 Baden Powell Dr, Lynedoch, Stellenbosch, 7603, South Africa",,,021 881 3870,
White Wine,Sold Out,Chenin Blanc,Credo Chenin Blanc 2023,2023,R175.00,,Stellenbosch Vineyards,http://www.stellenboschvineyards.co.za/,"R310 Baden Powell Dr, Lynedoch, Stellenbosch, 7603, South Africa",,,021 881 3870,
Red Wine,In Stock,Not specified,Three Graces 2022,2022,480,,Graceland Vineyards,http://www.gracelandvineyards.com/,"Stellenrust Rd, Stellenbosch NU, Stellenbosch, 7600, South Africa",,,082 441 2680,
,,,Strawberry Fields 2021,2021,R250.00,,Graceland Vineyards,http://www.gracelandvineyards.com/,"Stellenrust Rd, Stellenbosch NU, Stellenbosch, 7600, South Africa",,,082 441 2680,
Red Wine,,Shiraz,Shiraz 2023,2023,R240.00,,Graceland Vineyards,http://www.gracelandvineyards.com/,"Stellenrust Rd, Stellenbosch NU, Stellenbosch, 7600, South Africa",,,082 441 2680,
White Wine,Available,Chenin Blanc,21 Gables Chenin Blanc 2022,2022,R340.00,,Spier Wine Farm,https://www.spier.co.za/,"R310 Baden Powell Dr, Stellenbosch, 7603, South Africa",,,021 809 1100,
White Wine,In Stock,Chardonnay,Signature Chardonnay,Not Specified,R95.00,,Spier Wine Farm,https://www.spier.co.za/,"R310 Baden Powell Dr, Stellenbosch, 7603, South Africa",,,021 809 1100,
Red,N/A,Syrah,Rust en Vrede Estate Vineyards Syrah,2022,R450.00,N/A,Rust en Vrede Wine Estate,http://rustenvrede.com/,"Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3881,
Red,N/A,"59% Cabernet Sauvignon, 31% Syrah, 10% Merlot",Rust en Vrede Estate,2021,R650.00,N/A,Rust en Vrede Wine Estate,http://rustenvrede.com/,"Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3881,
Red,N/A,"59% Cabernet Sauvignon, 31% Syrah, 10% Merlot",Rust en Vrede Estate Magnum,2021,"R1,650.00",N/A,Rust en Vrede Wine Estate,http://rustenvrede.com/,"Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3881,
Brandy,N/A,Aged 12 Years,Rust en Vrede Estate Potstill Brandy,N/A,"R1,500.00",N/A,Rust en Vrede Wine Estate,http://rustenvrede.com/,"Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3881,
Red,N/A,Cabernet Sauvignon,Rust en Vrede Estate Vineyards Cabernet Sauvignon,2022,R450.00,N/A,Rust en Vrede Wine Estate,http://rustenvrede.com/,"Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3881,
Red,N/A,Syrah,Rust en Vrede Single Vineyard Syrah,2018,"R1,800.00",N/A,Rust en Vrede Wine Estate,http://rustenvrede.com/,"Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3881,
Red Wine,Request Allocation,Cabernet Sauvignon,Estate Reserve Cabernet,2015,,,Waterford Estate,http://www.waterfordestate.co.za/,"Upper Blaauwklippen Rd, Helderberg Rural, Stellenbosch, 7600, South Africa",,,021 880 5300,
Light-Style Red,,Grenache,Estate Grenache,,,,Waterford Estate,http://www.waterfordestate.co.za/,"Upper Blaauwklippen Rd, Helderberg Rural, Stellenbosch, 7600, South Africa",,,021 880 5300,
Heritage Wine,,Shiraz,Kevin Arnold Shiraz,,,,Waterford Estate,http://www.waterfordestate.co.za/,"Upper Blaauwklippen Rd, Helderberg Rural, Stellenbosch, 7600, South Africa",,,021 880 5300,
Bordeaux Blend,,,Waterford Antigo,,,,Waterford Estate,http://www.waterfordestate.co.za/,"Upper Blaauwklippen Rd, Helderberg Rural, Stellenbosch, 7600, South Africa",,,021 880 5300,
Red Wine,,Cabernet Sauvignon,Estate Reserve Cabernet,,,,Waterford Estate,http://www.waterfordestate.co.za/,"Upper Blaauwklippen Rd, Helderberg Rural, Stellenbosch, 7600, South Africa",,,021 880 5300,
Rose,,Pinotage,Kleine Rust Rose (Pinotage),,,,Stellenrust Wine estate,http://www.stellenrust.co.za/,"Off the R44 between Stellenbosch & Somerset West, On the Stellenrust Road, Stellenbosch NU, Stellenbosch, 7600, South Africa",,,021 880 2283,
Red,,Cabernet Sauvignon,Stellenrust Cabernet Sauvignon,,,,Stellenrust Wine estate,http://www.stellenrust.co.za/,"Off the R44 between Stellenbosch & Somerset West, On the Stellenrust Road, Stellenbosch NU, Stellenbosch, 7600, South Africa",,,021 880 2283,
White,,Chenin Blanc,Stellenrust Chenin Blanc,,,,Stellenrust Wine estate,http://www.stellenrust.co.za/,"Off the R44 between Stellenbosch & Somerset West, On the Stellenrust Road, Stellenbosch NU, Stellenbosch, 7600, South Africa",,,021 880 2283,
Sparkling,,Chenin Blanc,Stellenrust Chenin Blanc Sparkling,,,,Stellenrust Wine estate,http://www.stellenrust.co.za/,"Off the R44 between Stellenbosch & Somerset West, On the Stellenrust Road, Stellenbosch NU, Stellenbosch, 7600, South Africa",,,021 880 2283,
White,,Chenin Blanc,Stellenrust Barrel Fermented Chenin Blanc 57,57,,,Stellenrust Wine estate,http://www.stellenrust.co.za/,"Off the R44 between Stellenbosch & Somerset West, On the Stellenrust Road, Stellenbosch NU, Stellenbosch, 7600, South Africa",,,021 880 2283,
Red,,Bordeaux-style Blend,Signature,2017,"R900,00",,Ernie Els Wines,http://www.ernieelswines.com/,"Annandale Rd, Stellenbosch NU, Stellenbosch, 7600, South Africa",,,021 881 3588,
Red,,Bordeaux-style Blend,Signature,2016,"R1 350,00",,Ernie Els Wines,http://www.ernieelswines.com/,"Annandale Rd, Stellenbosch NU, Stellenbosch, 7600, South Africa",,,021 881 3588,
Red,,Bordeaux-style Blend,Signature,2014,"R1 450,00",,Ernie Els Wines,http://www.ernieelswines.com/,"Annandale Rd, Stellenbosch NU, Stellenbosch, 7600, South Africa",,,021 881 3588,
Red,,Bordeaux-style Blend,Signature,2013,"R1 500,00",,Ernie Els Wines,http://www.ernieelswines.com/,"Annandale Rd, Stellenbosch NU, Stellenbosch, 7600, South Africa",,,021 881 3588,
Red,,Bordeaux-style Blend,Signature,2002,"R2 450,00",,Ernie Els Wines,http://www.ernieelswines.com/,"Annandale Rd, Stellenbosch NU, Stellenbosch, 7600, South Africa",,,021 881 3588,
Red,,Bordeaux-style Blend,Signature,2001,"R2 750,00",,Ernie Els Wines,http://www.ernieelswines.com/,"Annandale Rd, Stellenbosch NU, Stellenbosch, 7600, South Africa",,,021 881 3588,
Red,,,Signature Magnum,2016,"R2 350,00",,Ernie Els Wines,http://www.ernieelswines.com/,"Annandale Rd, Stellenbosch NU, Stellenbosch, 7600, South Africa",,,021 881 3588,
Red,,,Signature Double Magnum,2017,"R3 900,00",,Ernie Els Wines,http://www.ernieelswines.com/,"Annandale Rd, Stellenbosch NU, Stellenbosch, 7600, South Africa",,,021 881 3588,
Red,,,Signature Jeroboam,2017,"R6 150,00",,Ernie Els Wines,http://www.ernieelswines.com/,"Annandale Rd, Stellenbosch NU, Stellenbosch, 7600, South Africa",,,021 881 3588,
Rosé,,,Big Easy Cabernet Sauvignon Rosé,2023,"R295,00",,Ernie Els Wines,http://www.ernieelswines.com/,"Annandale Rd, Stellenbosch NU, Stellenbosch, 7600, South Africa",,,021 881 3588,
Rosé,,Syrah,Katharien Syrah Rosé 2023,2023,R135.00,,Kleinood,http://www.kleinood.com/,"Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 2527,
